"ADRESA","ADRESARAW","LOCALITATE","NUME"
"strada păcii nr. 13, bl. s4, sc. b, ap. 4, parter, zona centrală","STR. PĂCII NR. 13, BL. S4, SC. B, AP. 4, PARTER, ZONA CENTRALĂ","TULCEA","PORFIR ALEXANDRU"
"strada brăilei nr. 136, bl. b-3, parter, ap. 41","STR. BRĂILEI NR. 136, BL. B-3, PARTER, AP. 41","GALAŢI","POTÎRNICHE ALINA"
"fara spaţiu","FARA SPAŢIU","COLELIA","POTRA BIANCA-FLORICA"
"calea moşilor nr. 96, et. 2, ap. 3, sector 2","CALEA MOŞILOR NR. 96, ET. 2, AP. 3, SECTOR 2","BUCUREŞTI","PREDA JOIŢA"
"strada ştefan greceanu, nr. 3-5, bl. l1, parter","STR. ŞTEFAN GRECEANU, NR. 3-5, BL. L1, PARTER","PLOIEŞTI","PREDA-POPESCU FLORENTINA"
"calea naţională, nr.99","CALEA NAŢIONALĂ, Nr.99","DARABANI","PRICOP DORIN-EMANOIL"
"strada eremia grigorescu, bl.p4, sc.c, ap. 1, parter","STR. EREMIA GRIGORESCU, BL.P4, SC.C, AP. 1, PARTER","PITEŞTI","PRISTAVU ALEXANDRA ŞTEFANIA"
"calea bucureşti, nr. 9, bl. 43, sc. a, ap. 3","CALEA BUCUREŞTI, NR. 9, BL. 43, SC. A, AP. 3","BRAŞOV","PROCA AURA-IOANA"
"mihai bravu, nr.93, jud. prahova","MIHAI BRAVU, Nr.93, JUD. PRAHOVA","MIZIL","PROCOPIE STELIANA"
"strada oltului, nr. 11, ap.1,","STR. OLTULUI, NR. 11, AP.1,","SFANTU GHEORGHE","PROFIROIU MARILENA"
"sf. gheorghe, strada oltului nr. 11, ap. 1","SF. GHEORGHE, STR. OLTULUI NR. 11, AP. 1","OZUN","PROFIROIU-TOTH ANCA"
"1 mai, nr.4, bl.j4, sc.c, ap.41","1 MAI, Nr.4, Bl.J4, Sc.C, Ap.41","CONSTANTA","PUIA CIPRIAN CLAUDIU"
"strada concordiei nr. 4bl. c4, sc. a, ap. 3","STR. CONCORDIEI NR. 4BL. C4, SC. A, AP. 3","HÂRŞOVA","PUIA ELVIS RADUCU"
"strada medgidiei nr.4, bl.h2, ap.39, parter","STR. Medgidiei Nr.4, Bl.H2, Ap.39, PARTER","CERNAVODA ","PUIA IONUŢ ALIN"
"strada independenţei, nr. 14, jud. constanţa","STR. INDEPENDENŢEI, NR. 14, JUD. CONSTANŢA","MEDGIDIA","PUIA RADU"
"strada basarabiei nr. 12, ap. 1/2, jud. alba ","str. basarabiei nr. 12, ap. 1/2, jud. alba    ","ALBA IULIA","PUIU MARIA-DELIA"
"crinului, nr.3, ap.1","Crinului, Nr.3, Ap.1","MARGHITA","PURDEA MARIANA"
"bulevardul .c. brâncoveanu, nr.6, bl.b1, sc.1, ap.3, sectorul 4","B-DUL.C. BRÂNCOVEANU, Nr.6, Bl.B1, Sc.1, Ap.3, Sectorul 4","BUCURESTI","PURDESCU EMIL"
"bulevardul eroilor nr. 18, et. 1, ap. 5","B-DUL EROILOR NR. 18, ET. 1, AP. 5","CLUJ-NAPOCA","PURIŞ ADINA-MARIA"
"calea naţională nr. 99","CALEA NAŢIONALĂ NR. 99","BOTOSANI","PUŞCAŞU GABRIEL-TIBERIU"
"strada cumpătul nr. 8, bl. h11, sc. a, ap. 1, parter","STR. CUMPĂTUL NR. 8, BL. H11, SC. A, AP. 1, PARTER","PLOIEŞTI","PUŞCAŞU ION"
"bulevardul dacia, bl. p 4, parter","B-DUL DACIA, BL. P 4, PARTER","MIOVENI","PUŞCAŞU LUMINIŢA"
"strada ardeleni, nr. 1, bl. 39a, sc. 1, parter, ap. 2-3, sector 2","STR. ARDELENI, NR. 1, BL. 39A, SC. 1, PARTER, AP. 2-3, SECTOR 2","BUCUREŞTI","PUŞCATU  ION-LEONARD"
"calea călăraşilor, nr. 311, bl. 71, sc. 3, ap. 68, parter, sector 3","Calea Călăraşilor, nr. 311, bl. 71, sc. 3, ap. 68, parter, sector 3","Bucureşti","PUŞOIU IULIANA"
"strada 1 mai, nr. 20 ","STR. 1 MAI, NR. 20 ","DEJ","RACOLŢA NINA"
"strada gheorghe doja, nr. 48 bis, ","STR. GHEORGHE DOJA, NR. 48 BIS, ","ALEXANDRIA","RADU ANIŞOARA"
"piaţa romană nr. 9, sc. c, et. 1, ap. 1, sect. 1","PIAŢA ROMANĂ NR. 9, SC. C, ET. 1, AP. 1, SECT. 1","BUCUREŞTI","RADU FELIX-CRISTIAN"
"strada republicii , nr. 2p","STR. REPUBLICII , NR. 2P","BOLINTIN VALE","RADU HORIA"
"strada nicolae radian, bl. t1, et. 1, ap. 3","STR. NICOLAE RADIAN, BL. T1, ET. 1, AP. 3","TÂRGOVIŞTE","RADU IULIANA"
"strada dristorului nr. 114, bl. 13c, sc. b, ap. 31, et. 1 şi camera nr. 8 din ap. 34, et. 2, sector 3","STR. DRISTORULUI NR. 114, BL. 13C, SC. B, AP. 31, ET. 1 ŞI CAMERA NR. 8 DIN AP. 34, ET. 2, SECTOR 3","Bucureşti","RADU MARIA-RAMONA"
"strada foişorului,nr. 5, bl. f4c, ap. 2, sector 3","STR. FOIŞORULUI,NR. 5, BL. F4C, AP. 2, SECTOR 3","BUCURESTI","RADU MIRELA SILVIA"
"strada parcul traian, nr.1","STR. PARCUL TRAIAN, NR.1","ORADEA","RADU MONA VICTORIA"
"strada piaţa republicii, nr.21","STR. PIAŢA REPUBLICII, NR.21","Techirghiol","RADU SABINA"
"strada piaţa republicii nr. 1","STR. PIAŢA REPUBLICII NR. 1","AGNITA","RADU VASILE-EUGEN"
"strada a.i. cuza, nr. 42","STR. A.I. CUZA, NR. 42","BRAILA","RALEA SORIN DAN"
"strada principală, nr. 94, jud. constanţa","STR. PRINCIPALĂ, NR. 94, JUD. CONSTANŢA","SEIMENI","RAŞID GEANDAN"
"strada mendeleev, nr.35, sectorul 1","STR. MENDELEEV, Nr.35, Sectorul 1","BUCURESTI","RAŢIU JANINA GABRIELA"
"bulevardul constantin brâncuş, bl. 8, sc. 2, ap. 2, parter","B-DUL CONSTANTIN BRÂNCUŞ, BL. 8, SC. 2, AP. 2, PARTER","TÂRGU JIU","RĂCEANU GHEORGHE SILVIU"
"strada străbună nr. 3, parter, ap. 1, sector 1","STR. STRĂBUNĂ NR. 3, PARTER, AP. 1, SECTOR 1","BUCUREŞTI","RĂDULESCU ANDREEA-DANA"
"bulevardul republicii nr. 8, ap. 1, parter","BLD. REPUBLICII NR. 8, AP. 1, PARTER","TIMIŞOARA","RĂDULESCU AURORA- CARMEN"
"şoseaua constanţei, nr. 1a","ŞOSEAUA CONSTANŢEI, NR. 1A","CUMPĂNA","RĂDULESCU FELICIA"
"bulevardul octavian goga nr. 21, bl. m103, sc. 2, et. 1, ap. 41, sector 3","BLD. OCTAVIAN GOGA NR. 21, BL. M103, SC. 2, ET. 1, AP. 41, SECTOR 3","BUCUREŞTI","RĂDULESCU VERONICA"
"strada păcurari, nr. 158, sc. b, parter","STR PĂCURARI, NR. 158, SC. B, PARTER","IAŞI","RĂZUŞI  RALUCA"
"calea calarasilor, nr.179, bl.49, ap.9, sectorul 3","Calea Calarasilor, Nr.179, Bl.49, Ap.9, Sectorul 3","BUCURESTI","REMBAS FLORENTINA ANA"
"calea dorobanţilor, nr. 9, ap. 12, jud. cluj","CALEA DOROBANŢILOR, NR. 9, AP. 12, JUD. CLUJ","CLUJ- NAPOCA","REPEDE DRAGOŞ-ADRIAN"
"calea dorobanţilor nr. 9, ap. 12","CALEA DOROBANŢILOR NR. 9, AP. 12","CLUJ-NAPOCA","REPEDE ILEANA"
"m.viteazu, nr.13, ap.16","M.VITEAZU, Nr.13, Ap.16","SATU MARE","RESSLER PETRA FELICIA"
"strada 8 martie nr. 1, jud. mureş","STR. 8 MARTIE NR. 1, JUD. MUREŞ","LUDUŞ","RÉVÉSZ ANA-DAMIANA"
"strada mihai eminescu nr. 20","STR. MIHAI EMINESCU NR. 20","VATRA DORNEI","REY OLTICA-VERONICA"
"strada sf. vineri, nr. 23, bl. 105b, sc.1, ap.4, sector 3","STR. SF. VINERI, NR. 23, BL. 105B, SC.1, AP.4, SECTOR 3","BUCUREŞTI","RIBĂ IVANCA"
"strada ana ipătescu, nr. 1, sc. b, ap 3","STR. ANA IPĂTESCU, NR. 1, SC. B, AP 3","BACAU","RIGLEA ADRIAN"
"bulevardul nicolae titulescu nr. 1, bl. a7, sc. 4, et. 8, ap. 115, sector 1","B-DUL NICOLAE TITULESCU NR. 1, BL. A7, SC. 4, ET. 8, AP. 115, SECTOR 1","BUCUREŞTI","RÎCIU IULIANA"
"calea dorobanţilor, nr. 10,sc1,et 1, ap.8, sector 1","CALEA DOROBANŢILOR, NR. 10,SC1,ET 1, AP.8, SECTOR 1","BUCUREŞTI","ROGOJANU OCTAVIAN - VIOREL"
"strada marchian, nr.62, bl.a4, sc.b, parter, ap.16","STR. Marchian, Nr.62, Bl.A4, Sc.B, PARTER, Ap.16","BOTOŞANI","ROMAN ELENA"
"strada vălişoara, nr. 55","STR. VĂLIŞOARA, NR. 55","GHIRODA","ROMÂNU REMUS"
"strada coriolan brediceanu, nr. 7, ap. 2, jud. timiş","TIMIŞOARA, STR. CORIOLAN BREDICEANU, NR. 7, AP. 2, JUD. TIMIŞ","TIMIŞOARA","ROMÂNU SILVIA"
"calea dorobanţilor nr. 47, ap. 1","CALEA DOROBANŢILOR NR. 47, AP. 1","CLUJ-NAPOCA ","ROSENBERG OANA"
"bulevardul dinicu golescu, nr. 30,sector 1","B-DUL DINICU GOLESCU, NR. 30,SECTOR 1","BUCUREŞTI","ROSENBERG PAULA-IOANA"
"calea 13 septembrie, nr.130, bl.p36, sc.1, ap.5, sectorul 5","Calea 13 Septembrie, Nr.130, Bl.P36, Sc.1, Ap.5, Sectorul 5","BUCURESTI","ROŞ CRISTINA MARIA"
"bulevardul trandafirilor nr.14,bl.2,sc.1,ap.1","B-DUL TRANDAFIRILOR NR.14,BL.2,SC.1,AP.1","MOTRU","ROŞIANU DANIELA"
"strada nerva traian nr. 12, bl. 37, sc. 4, et. 1, ap. 92, sector 3","STR. NERVA TRAIAN NR. 12, BL. 37, SC. 4, ET. 1, AP. 92, SECTOR 3","BUCUREŞTI","ROŞU-LIS ANDREEA DIANA"
"sf. constantin, nr.7, sectorul 1","Sf. Constantin, Nr.7, Sectorul 1","BUCURESTI","ROTĂRESCU ELENA"
"lipscani, nr.27","Lipscani, Nr.27","SLATINA","RUSCU RODICA"
"strada aurel pop nr. 2, ap. 2 şi 3","STR. AUREL POP NR. 2, AP. 2 ŞI 3","TIMIŞOARA","RUSU CAMELIA-DOMNICA"
"p-ţa mihai viteazu nr. 9a, ap. 6","P-ŢA MIHAI VITEAZU NR. 9A, AP. 6","CLUJ-NAPOCA","RUSU MANUELA"
"strada george coşbuc nr. 7","STR. GEORGE COŞBUC NR. 7","ORĂŞTIE","RUSU VASILE"
"strada i.l. caragiale nr. 4","STR. I.L. CARAGIALE NR. 4","TIMIŞOARA","SACA RODICA-MARIA"
"strada gheorghe lazar, nr.21","STR. Gheorghe Lazar, Nr.21","AVRIG","SALOMIE IOAN-CRISTIAN"
"strada republicii nr. 15, ap. 38, parter","STR. REPUBLICII NR. 15, AP. 38, PARTER","ONEŞTI","SAMOILĂ ANA"
"strada pieţei, nr. 5, ap.1","STR. PIEŢEI, NR. 5, AP.1","COMĂNEŞTI","SAMOILĂ GHEORGHE"
"mihai eminescu, nr.8, bl.d5, sc.b, ap.38","Mihai Eminescu, Nr.8, Bl.D5, Sc.B, Ap.38","PIATRA NEAMT","SAMSON GRIGORE"
"strada valeni, nr. 30, jud. prahova","PLOIEŞTI, STR. VALENI, NR. 30, JUD. PRAHOVA","PLOIEŞTI","SANDU AURELIAN-VIOREL"
"aleea poiana mare, nr.2, bl.b6, ap.44, sectorul 6","Aleea Poiana Mare, Nr.2, Bl.B6, Ap.44, Sectorul 6","BUCURESTI","SÂRBU FLOAREA"
"bulevardul griviţei nr. 68, bl. 5, ap. 1","BD. GRIVIŢEI NR. 68, BL. 5, AP. 1","BRAŞOV","SÂRBU VICTOR"
"scolii, nr.4, bl.1, sc.f, ap.1","Scolii, Nr.4, Bl.1, Sc.F, Ap.1","SFANTU GHEORGHE","SARBU VICTOR MIHAI"
"soseaua alexandriei, nr. 20, bl. l9, sc. 1, ap. 5, sector 5","ŞOS. ALEXANDRIEI, NR. 20, BL. L9, SC. 1, AP. 5, SECTOR 5","BUCUREŞTI","SÂRBULESCU IRINA RALUCA"
"soseaua alexandriei, nr. 70, bl. l9, sc. 1, et. 1, ap. 5, sect. 5","ŞOS. ALEXANDRIEI, NR. 70, BL. L9, SC. 1, ET. 1, AP. 5, SECT. 5","BUCUREŞTI","SÂRBULESCU IRINA RALUCA"
"strada bogdan vodă nr. 20/1, camera 1","STR. BOGDAN VODĂ NR. 20/1, CAMERA 1","SIGHETU MARMAŢIEI","SAS PAUL-MARIAN"
"bulevardul cosminului, nr.12, bl. u26, sc.a, parter","B-DUL COSMINULUI, NR.12, BL. U26, SC.A, PARTER","SLOBOZIA","SAVA DOINA"
"strada republicii, nr. 26 ","STR. REPUBLICII, NR. 26 ","LUDUŞ","SAVA MIHAELA"
"soseaua bucureşti-târgovişte nr. 12a","ŞOS. BUCUREŞTI-TÂRGOVIŞTE NR. 12A","MOGOŞOAIA","SAVICI LIGIA-MARIA"
"com. , soseaua alexandriei, nr. 243, bl. p30, sc. 2, et. 1, ap. 15","Com. Bragadiru, Şos. Alexandriei, nr. 243, bl. P30, sc. 2, et. 1, ap. 15","BRAGADIRU","SAVU NICOLAE"
"marii, nr.16, bl.21, ap.1","MARII, Nr.16, Bl.21, Ap.1","NAVODARI","SĂCĂLEANU MARIEA "
"gavrilov corneliu, nr.168, bl.a2, sc.d, ap.4","GAVRILOV CORNELIU, Nr.168, Bl.A2, Sc.D, Ap.4","TULCEA","SĂLCEANU LIA"
"strada alexandru odobescu, nr. 18, ap. 1","STR. ALEXANDRU ODOBESCU, NR. 18, AP. 1","BISTRIŢA","SĂSĂRMAN CLAUDIA-MIHAELA"
"bulevardul carol i, bl. r55, ap. 2, parter","B-DUL CAROL I, BL. R55, AP. 2, PARTER","CÂMPINA","SĂVULESCU VASILE"
"bulevardul griviţei, nr. 85, sc. g, ap. 1","BLD. GRIVIŢEI, NR. 85, SC. G, AP. 1","BRAŞOV","SBERA VIOLETA-ARIADNA"
"strada paris, nr. 5, psrter, sector 1","BUCUREŞTI, STR. PARIS, NR. 5, PSRTER, SECTOR 1","BUCUREŞTI","SCÂNTEI LAURA-IULIANA"
"strada c.d. loga, nr. 13","STR. C.D. LOGA, NR. 13","CARANSEBEŞ","SCHINTEIE PETRU"
"strada cernei, nr.1, pavilion 12, cam 2-3","STR. CERNEI, NR.1, PAVILION 12, CAM 2-3","BĂILE HERCULANE","SCHINTEIE PETRU"
"calea victoriei, nr.1-5, sc.c, ap.155, sectorul 3","Calea Victoriei, Nr.1-5, Sc.C, Ap.155, Sectorul 3","BUCURESTI","SCHLANGER DANA"
"strada mihai eminescu, bl. b, sc. a, ap. 1, jud. braşov","STR. MIHAI EMINESCU, BL. B, SC. A, AP. 1, JUD. BRAŞOV","FĂGĂRAŞ","SCHNEIDER-CHELEMEN ELEONORA-SONIA"
"academiei, nr. 2, corp a-b, sector 3","ACADEMIEI, NR. 2, CORP A-B, SECTOR 3","BUCURESTI","SCHUSTER ELENA MARIANA"
"strada nicolae grigorescu, nr. 9, ap. 4","STR. NICOLAE GRIGORESCU, NR. 9, AP. 4","ARAD","SCÎNTEE COSTIN"
"nr. 733","SEMLAC, NR. 733","SEMLAC","SCÎNTEE COSTIN"
"bulevardul decebal, nr.9, bl.s13, sc.2, ap.22, sectorul 3","B-dul Decebal, Nr.9, Bl.S13, Sc.2, Ap.22, Sectorul 3","BUCURESTI","SCRIECIU ISABELLA RODICA"
"strada traian nr. 58, bl. l4, sc. a, parter, ap. 2","STR. TRAIAN NR. 58, BL. L4, SC. A, PARTER, AP. 2","DROBETA-TURNU SEVERIN","SCURTU ALEXANDRU-OCTAVIAN"
"traian, nr.58, sc.1, ap.2","TRAIAN, Nr.58, Sc.1, Ap.2","DROBETA TURNU SEVERIN","SCURTU EUGENIA"
"strada lipscani, nr.19, sectorul 3","STR. LIPSCANI, Nr.19, Sectorul 3","BUCURESTI","SECELEANU LIDIA SIMONA"
"grigore alexandrescu, nr.39, sectorul 1","Grigore Alexandrescu, Nr.39, Sectorul 1","BUCURESTI","SECULA SILVIA DANIELA"
"strada piaţa unirii, nr.70, jud. suceava","STR. PIAŢA UNIRII, Nr.70, JUD. SUCEAVA","RĂDĂUŢI","SEHLANEC ANA"
"strada alexandru vaida-voievod, nr. 58, ap. 4","STR. ALEXANDRU VAIDA-VOIEVOD, NR. 58, AP. 4","CLUJ-NAPOCA","SERENEC CARMEN-ELENA"
"bulevardul unirii nr. 61, bl. f3, et. 3, ap. 303, sect. 3","B-DUL UNIRII NR. 61, BL. F3, ET. 3, AP. 303, SECT. 3","BUCUREŞTI","SEUCAN CLAUDIU-ŞTEFAN"
"strada 20 decembrie 1989, nr.18","STR. 20 DECEMBRIE 1989, NR.18","LUGOJ","SFERCOCI GHEORGHE"
"nr. 508","NR. 508","SÎNANDREI","SFERDIAN IRINA"
"strada constanţei nr. 86a","STR. CONSTANŢEI NR. 86A","TUZLA","SFIRCEA ELENA-RUANA"
"m.viteazu, nr.2, bl.s7, sc.d, ap.2","M.VITEAZU, Nr.2, Bl.S7, Sc.D, Ap.2","BABADAG","SFÎRCEA DORINA"
"strada vasile alecsandri nr. 7, ap. 16","STR. VASILE ALECSANDRI NR. 7, AP. 16","TIMIŞOARA","SICĂ MARIUS ALEXANDRU"
"strada vasile alecsandri nr. 7, ap 15+17 b","STR. VASILE ALECSANDRI NR. 7, AP 15+17 B","TIMISOARA","SICĂ SILVIA"
"p-ta doiceti, nr.2","P-TA DOICETI, Nr.2","TIMISOARA","SICHIM IOANA"
"strada gutinului, nr.29, jud. cluj","STR. GUTINULUI, Nr.29, JUD. CLUJ","DEJ","SIGARTHĂU VIORICA-MARIANA"
"strada gerorge coşbuc nr. 21, ap. iv","STR. GERORGE COŞBUC NR. 21, AP. IV","DEJ","SIGHARTĂU ALINA-GABRIELA"
"gutinului, nr.29","Gutinului, Nr.29","DEJ","SIGHARTĂU RADU-ŞTEFAN"
"strada bogdan vodă nr. 9, bl. a1, parter, ap. 1","STR. BOGDAN VODĂ NR. 9, BL. A1, PARTER, AP. 1","HÂRLĂU","SILION ANCA-ILINCA"
"bulevardul general eral vasile milea, bl.10, ap. 18","BLD. GENERAL VASILE MILEA, BL.10, AP. 18","SIBIU","SIMA RALUCA-CĂTĂLINA"
"strada nicolae balcescu, nr.3, ap. 2","STR. NICOLAE BALCESCU, Nr.3, AP. 2","CARANSBEŞ","SIMESCU GHEORGHE"
"strada mihai racoviţă nr. 2-4","STR. MIHAI RACOVIŢĂ NR. 2-4","VASLUI","SIMIN MARIA"
"bulevardul ion mihalache, nr.42-52, bl.35, sc.d, ap.121, sectorul 1","B-dul ION MIHALACHE, Nr.42-52, Bl.35, Sc.D, Ap.121, Sectorul 1","BUCURESTI","SIMION CRISTINA DENISA"
"calea rahovei, nr.309, bl.44, sc.a, ap.2, sectorul 5","CALEA RAHOVEI, Nr.309, Bl.44, Sc.A, Ap.2, Sectorul 5","BUCURESTI","SIMIONESCU CORNELIA CRISTINA"
"bulevardul libertăţii, bl. a3,parter","B-DUL LIBERTĂŢII, BL. A3,PARTER","TARGOVIŞTE","SIMIONESCU-DOBÂNDĂ IOANA-DANA"
"bulevardul gheorghe şincai nr. 9, bl. 3, sc. c, et. 1, ap. 8, sector 4","B-DUL GHEORGHE ŞINCAI NR. 9, BL. 3, SC. C, ET. 1, AP. 8, SECTOR 4","BUCURESTI","SINESCU ANCA-ANDREEA"
"buzăului, nr.1c","Buzăului, Nr.1C","VOLUNTARI","SMÂNTÂNĂ POENARU MIHAIL"
"calea moşilor, nr. 262, bl. 8, parter, sector 2 ","CALEA MOŞILOR, NR. 262, BL. 8, PARTER, SECTOR 2 ","BUCUREŞTI","SOARE DENISA-MIHAELA"
"strada lungă nr.131","STR. LUNGĂ Nr.131","CODLEA","SOCACIU GEORGE"
"jud. călăraşi","RADOVANU, JUD. CĂLĂRAŞI","RADOVANU","SOLACOLU RALUCA-IOANA"
"strada bărboi, nr. 6, bl. c7, parter","STR. BĂRBOI, NR. 6, BL. C7, PARTER","IASI","SOLCANU IOANA MADALINA"
"strada mihai eminescu nr. 53, bl. c1, sc. a, parter, ap. 2, nr.13","STR. MIHAI EMINESCU NR. 53, BL. C1, SC. A, PARTER, AP. 2, Nr.13","PIATRA NEAMT","SOLOMON ALINA"
"strada petofi şandor, nr. 13","STR. PETOFI ŞANDOR, NR. 13","MEDIAŞ","SORICI DANIELA-MARIA"
"strada ştefan cel mare nr. 11","STR. ŞTEFAN CEL MARE NR. 11","BACĂU","SPULBER ROXANA"
"calea vitan, nr. 124, sector 3","CALEA VITAN, NR. 124, SECTOR 3","BUCURESTI","STAMATE MANUELA SIMONA"
"i.gh. duca, nr.81b, bl.l43, ap.47","I.GH. Duca, Nr.81b, Bl.L43, Ap.47","CONSTANTA","STAMULE DANIELA"
" strada teilor, bl.ps36, ap.2"," STR. TEILOR, Bl.PS36, Ap.2","PITEŞTI","STAN ANA"
"bulevardul 1 decembrie 1918 nr. 2, bl. l 69, sc. c, ap. 41, parter","B-DUL 1 DECEMBRIE 1918 NR. 2, BL. L 69, SC. C, AP. 41, PARTER","CONSTANŢA","STAN MARIA"
"parcul traian, nr.12","PARCUL TRAIAN, Nr.12","ORADEA","STANCA VALENTINA"
"şoseaua constanţei nr.43","ŞOSEAUA CONSTANŢEI NR.43","CRUCEA","STANCĂ IONELA-ANTOANETA"
"n.bălcescu, nr.4","N.BĂLCESCU, Nr.4","BALS","STANCIU ELENA"
"bulevardul eroilor, nr.45, ap.1","bdl. Eroilor, Nr.45, Ap.1","CLUJ-NAPOCA","STANCU TUDOR-DAN"
"strada alexandru cel bun nr. 3","STR. ALEXANDRU CEL BUN NR. 3","SIRET","STĂNCIULESCU-OLAREAN ANDRA-ALINA"
"strada mihai eminescu nr. 11, parter","STR. MIHAI EMINESCU NR. 11, PARTER","BUFTEA","STĂNESCU ALEXANDRA-GABRIELA"
"strada căp. aviator alexandru şerbănescu, nr. 23, bl. 7m, sc. 2, parter, ap. 22, sector 1","STR. CĂP. AVIATOR ALEXANDRU ŞERBĂNESCU, NR. 23, BL. 7M, SC. 2, PARTER, AP. 22, SECTOR 1","BUCURESTI","STĂNICĂ MARINELA"
"bulevardul victoriei nr. 27 ","BLD. VICTORIEI NR. 27 ","SIBIU","STĂNILĂ ANDREEA-MARIA"
"strada horea, cloşca şi crişan, nr. 24","STR. HOREA, CLOŞCA ŞI CRIŞAN, NR. 24","CALAFAT","STOENESCU FLOREA"
"mitropolit metianu, nr.24","MITROPOLIT METIANU, Nr.24","ZĂRNESTI","STOIAN CORIOLAN ADRIANA-GEORGETA"
"strada valşea lui, nr. 2, jud. buzău","STR. VALŞEA NEHOIULUI, NR. 2, JUD. BUZĂU","NEHOIU","STOIAN ELENA"
"nicolae iorga, bl.o4, sc.e, ap.3","NICOLAE IORGA, Bl.O4, Sc.E, Ap.3","HOREZU","STOIAN VASILE"
"1 decembrie 1918, nr.2","1 Decembrie 1918, Nr.2","ZARNESTI","STOIAN-CORIOLAN EMIL-MARCEL"
"cart. oraşul nou, strada nicolae titulescu, bl. 41, sc. 2, ap. 3, jud. caraş severin","Cart. Oraşul Nou, str. Nicolae Titulescu, bl. 41, sc. 2, ap. 3, jud. Caraş Severin","MOLDOVA NOUA","STOIANOVICI ADRIANA- IULIANA -CONSTANŢA"
"strada oraşul nou, bl. 41, sc.2, ap. 3","STR. ORAŞUL NOU, BL. 41, SC.2, AP. 3","MOLDOVA NOUĂ","STOIANOVICI MLAGEA"
"strada dr. lister,nr.3, ap. 2, sector 5","STR. DR. LISTER,NR.3, AP. 2, SECTOR 5","BUCURESTI","STOICA GEORGE"
"strada avram iancu, bl. e4, ap. 7, jud. sălaj","STR. AVRAM IANCU, BL. E4, AP. 7, JUD. SĂLAJ","CEHU SILVANIEI","STOICA IOAN-ALIN"
"bulevardul unirii , nr.2, ap.2","B-dul Unirii , Nr.2, Ap.2","BACAU","STOICA NICOLINA"
"strada nicolae bălcescu nr. 30, bl. 47, parter","STR. NICOLAE BĂLCESCU NR. 30, BL. 47, PARTER","MIZIL","STOICESCU ISABELA"
"strada sfântu sava gotu nr. 8","STR. SFÂNTU SAVA GOTU NR. 8","BUZĂU","STOICESCU MIOARA-CARMEN"
"sat ","SAT NICULEŞTI","NICULEŞTI","STOICHICI CECILIA-MARIA"
"strada mureş, nr.1","STR. MUREŞ, NR.1","VOLUNTARI","STRATAN VIOLETA- MIHAELA"
"strada petru maior, nr. 42, jud. mureş","STR. PETRU MAIOR, NR. 42, JUD. MUREŞ","REGHIN","STRĂUŢ MARIA-CODRUŢA"
"al.poiana mare, nr.2, bl.b6, ap.44, sectorul 6","AL.POIANA MARE, Nr.2, Bl.B6, Ap.44, Sectorul 6","BUCURESTI","STRBU FLOAREA"
"strada general eral constantin coandă, nr. 17, sector 1","STR. G-RAL CONSTANTIN COANDĂ, NR. 17, SECTOR 1","BUCURESTI","STROE MONICA STEFANIA"
"strada ic brătianu, nr. 27 a, ","STR. IC BRĂTIANU, NR. 27 A, ","BRANESTI","STROE RODICA"
"brăilei, nr.6","BRĂILEI, Nr.6","FOCSANI","STRUNA CARMEN"
"bulevardul cosminului, nr. 12, bl. u26, sc.a, parter, ap 1 şi 2","B-DUL COSMINULUI, NR. 12, BL. U26, SC.A, PARTER, AP 1 ŞI 2","SLOBOZIA","STUPARU COSTIN MARIAN"
"panait istrada ati, bl.v8, ap.1","PANAIT ISTRATI, Bl.V8, Ap.1","FETEŞTI","STUPARU ION"
"soseaua mihai bravu, nr.85-93, bl.c16, sc.1, ap.4, sectorul 2","Şos. Mihai Bravu, Nr.85-93, Bl.C16, Sc.1, Ap.4, Sectorul 2","BUCURESTI","SUCIU DANA-CRISTINA"
"strada someşului, nr. 2, jud. ","STR. SOMEŞULUI, NR. 2, JUD. SIBIU","SIBIU","SUCIU DORIN"
"strada justiţiei nr. 4","STR. JUSTIŢIEI NR. 4","SIGHIŞOARA","SUCIU IOANA-SILVIA"
"strada ing.aurel raianu, nr.84a","STR. ING.AUREL RAIANU, Nr.84A","FIENI","SUDITU ECATERINA"
"bulevardul eroilor nr. 14, ap. 2","BLD. EROILOR NR. 14, AP. 2","Timişoara","SURU AMIR-SORIN"
"bulevardul unirii, nr. 27, bl. 15, sc. 2, et.1, ap. 26, sector 5","BDUL UNIRII, NR. 27, BL. 15, SC. 2, ET.1, AP. 26, SECTOR 5","BUCURESTI","SURUGIU ADELA"
"strada marton aron nr. 16","STR. MARTON ARON NR. 16","MIERCUREA-CIUC","SZABÓ JOLAN"
"oradiei, nr.4/b","Oradiei, Nr.4/B","SALONTA","SZASZ DENES ALBERT"
"ioan halauceanu, nr.1","Ioan Halauceanu, Nr.1","CÂMPULUNG MOLDOVENESC","ŞCRABA HORIA-ILIE"
"calea transilvaniei nr. 13, ap. 1, jud. suceava","CALEA TRANSILVANIEI NR. 13, AP. 1, JUD. SUCEAVA","CÂMPULUNG MOLDOVENESC","ŞCRABA-LUMINIŢĂ ANA-MARIA"
"strada arboroasa nr. 2, ap. 1, parter","STR. ARBOROASA NR. 2, AP. 1, PARTER","CÎMPULUNG MOLDOVENESC","ŞCRABA-LUMINIŢĂ DORU-PAUL"
